id,case,template,whole,digit,zeros,control,layer,model,revision,template_mode,sequence_length,numeral_token_count,hard_margin,easy_margin,donor_margin,patched_margin,margin_effect,hard_correct,patched_correct,target_positions,source_positions,random_positions
causal-gen-000,0,relation_statements,101,0,1,easy_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,25.25,27.625,-23.375,25.125,-0.125,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[36, 37, 38, 39, 40, 41, 26, 27, 28, 29, 30]","[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]"
causal-gen-000,0,relation_statements,101,0,1,easy_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,25.25,27.625,-23.375,24.0,-1.25,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]","[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]"
causal-gen-000,0,relation_statements,101,0,1,easy_answer_position,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,25.25,27.625,-23.375,25.25,0.0,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]",[86],"[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]"
causal-gen-000,0,relation_statements,101,0,1,donor_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,25.25,27.625,-23.375,-23.125,-48.375,True,False,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]"
causal-gen-000,0,relation_statements,101,0,1,donor_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,25.25,27.625,-23.375,25.25,0.0,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]","[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]"
causal-gen-000,0,relation_statements,101,0,1,donor_answer_position,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,25.25,27.625,-23.375,25.25,0.0,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]",[86],"[69, 57, 16, 67, 10, 33, 76, 79, 9, 77, 20]"
causal-gen-001,1,relation_statements,102,1,1,easy_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,19.0,25.75,-23.0,18.5,-0.5,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[36, 37, 38, 39, 40, 41, 26, 27, 28, 29, 30]","[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]"
causal-gen-001,1,relation_statements,102,1,1,easy_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,19.0,25.75,-23.0,21.625,2.625,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]","[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]"
causal-gen-001,1,relation_statements,102,1,1,easy_answer_position,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,19.0,25.75,-23.0,19.0,0.0,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]",[86],"[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]"
causal-gen-001,1,relation_statements,102,1,1,donor_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,19.0,25.75,-23.0,-23.125,-42.125,True,False,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]"
causal-gen-001,1,relation_statements,102,1,1,donor_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,19.0,25.75,-23.0,19.25,0.25,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]","[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]"
causal-gen-001,1,relation_statements,102,1,1,donor_answer_position,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,19.0,25.75,-23.0,18.75,-0.25,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]",[86],"[4, 13, 75, 80, 61, 8, 33, 32, 54, 3, 77]"
causal-gen-002,2,relation_statements,103,2,1,easy_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,22.375,26.75,-21.75,21.375,-1.0,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[36, 37, 38, 39, 40, 41, 26, 27, 28, 29, 30]","[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]"
causal-gen-002,2,relation_statements,103,2,1,easy_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,22.375,26.75,-21.75,22.625,0.25,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]","[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]"
causal-gen-002,2,relation_statements,103,2,1,easy_answer_position,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,22.375,26.75,-21.75,22.5,0.125,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]",[86],"[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]"
causal-gen-002,2,relation_statements,103,2,1,donor_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,22.375,26.75,-21.75,-21.875,-44.25,True,False,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]"
causal-gen-002,2,relation_statements,103,2,1,donor_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,22.375,26.75,-21.75,22.5,0.125,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]","[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]"
causal-gen-002,2,relation_statements,103,2,1,donor_answer_position,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,22.375,26.75,-21.75,22.5,0.125,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]",[86],"[84, 73, 7, 42, 80, 79, 47, 22, 56, 71, 58]"
causal-gen-003,3,relation_statements,104,3,1,easy_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,20.875,26.375,-24.0,20.25,-0.625,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[36, 37, 38, 39, 40, 41, 26, 27, 28, 29, 30]","[20, 45, 67, 77, 17, 42, 54, 57, 73, 80, 53]"
causal-gen-003,3,relation_statements,104,3,1,easy_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,20.875,26.375,-24.0,21.0,0.125,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[20, 45, 67, 77, 17, 42, 54, 57, 73, 80, 53]","[20, 45, 67, 77, 17, 42, 54, 57, 73, 80, 53]"
causal-gen-003,3,relation_statements,104,3,1,easy_answer_position,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,20.875,26.375,-24.0,20.875,0.0,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]",[86],"[20, 45, 67, 77, 17, 42, 54, 57, 73, 80, 53]"
causal-gen-003,3,relation_statements,104,3,1,donor_number_tokens,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,20.875,26.375,-24.0,-24.125,-45.0,True,False,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[20, 45, 67, 77, 17, 42, 54, 57, 73, 80, 53]"
causal-gen-003,3,relation_statements,104,3,1,donor_random_positions,2,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554,system-role,87,11,20.875,26.375,-24.0,20.625,-0.25,True,True,"[26, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41]","[20, 45, 67, 77, 17, 42, 54, 57, 73, 80, 53]","[20, 45, 67, 77, 17, 42, 54, 57, 73, 80, 53]"
